2018-02-01 00:03:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:13:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:13:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:18:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:18:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:18:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:18:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:18:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:23:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:23:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:23:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:23:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:23:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:23:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:23:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:28:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:28:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:28:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:28:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:28:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:28:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:28:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:33:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:33:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:33:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:33:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:33:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:33:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:33:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:38:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:38:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:38:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:38:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:38:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:38:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:38:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:43:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:43:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:43:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:43:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:43:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:43:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:43:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:48:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:48:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:48:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:48:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:48:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:48:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:48:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:53:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:53:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:53:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:53:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:53:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:53:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:53:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 02:58:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 02:58:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 02:58:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 02:58:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 02:58:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 02:58:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 02:58:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:03:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:03:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:03:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:03:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:03:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:03:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:03:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:08:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:08:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:08:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:08:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:08:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:08:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:08:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:13:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:13:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:13:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:13:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:13:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:13:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:13:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:18:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:18:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:18:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:18:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:18:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:18:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:18:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:23:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:23:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:23:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:23:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:23:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:23:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:23:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:28:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:28:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:28:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:28:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:28:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:28:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:28:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:33:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:33:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:33:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:33:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:33:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:33:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:33:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:38:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:38:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:38:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:38:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:38:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:38:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:38:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:43:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:43:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:43:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:43:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:43:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:43:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:43:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:48:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:48:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:48:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:48:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:48:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:48:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:48:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:53:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:53:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:53:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:53:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:53:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:53:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:53:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 03:58:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 03:58:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 03:58:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 03:58:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 03:58:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 03:58:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 03:58:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:03:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:03:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:03:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:03:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:03:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:03:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:03:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:08:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:08:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:08:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:08:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:08:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:08:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:08:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:13:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:13:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:13:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:13:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:13:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:13:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:13:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:18:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:18:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:18:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:18:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:18:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:18:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:18:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:23:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:23:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:23:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:23:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:23:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:23:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:23:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:28:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:28:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:28:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:28:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:28:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:28:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:28:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:33:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:33:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:33:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:33:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:33:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:33:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:33:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:38:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:38:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:38:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:38:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:38:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:38:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:38:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:43:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:43:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:43:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:43:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:43:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:43:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:43:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:48:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:48:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:48:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:48:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:48:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:48:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:48:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:53:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:53:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:53:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:53:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:53:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:53:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:53:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 04:58:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 04:58:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 04:58:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 04:58:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 04:58:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 04:58:59, mac : 00:06:7A:05:04:97, IP : .................
2018-02-01 04:58:59, mac : 00:06:7A:20:26:BA, IP : .................
2018-02-01 05:03:59, mac : 00:06:7A:40:04:42, IP : .................
2018-02-01 05:03:59, mac : 00:06:7A:40:02:BD, IP : 192.168.17.254
2018-02-01 05:03:59, mac : 00:06:7A:40:02:C7, IP : 192.168.17.254
2018-02-01 05:03:59, mac : 00:06:7A:40:04:5B, IP : .................
2018-02-01 05:03:59, mac : 00:06:7A:05:03:8F, IP : .................
2018-02-01 05:03:59, mac : 00:06:7A:05:04:97, IP : .................
